family,subfamily,outcome,n_treat,n_ctrl,baseline_rate_or_mean,expected_treat_rate_or_mean,mde_specified,mde_units,alpha,alpha_basis,two_sided,design_effect,rho_assumed,achieved_power_pre,achieved_power_post,achieved_power_uncorrected,target_power,power_status,phase,decision_locked_at_run_id,notes,realized_or_or_irr,realized_p_raw,realized_p_adj,se_log_realized
rq3_any_intervention,rho_0.05,any_security_intervention,9110,4139,0.048079,0.070426,1.5,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,2.077,0.05,0.9405,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",,,,
rq3_any_intervention,rho_0.10,any_security_intervention,9110,4139,0.048079,0.070426,1.5,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,3.153,0.1,0.8149,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",,,,
rq3_rejected,rho_0.01,rejected,9110,4139,0.142547,0.210105,1.6,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,1.215,0.01,1.0,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",,,,
rq3_rejected,rho_0.05,rejected,9110,4139,0.142547,0.210105,1.6,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,2.077,0.05,1.0,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",,,,
rq3_rejected,rho_0.10,rejected,9110,4139,0.142547,0.210105,1.6,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,3.153,0.1,0.9996,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",,,,
rq3_intervention_count,rho_0.01,security_intervention_count,9110,4139,0.073448,0.102827,1.4,IRR,0.05,"RQ3 family, single count outcome",True,1.215,0.01,0.9961,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,"Closed-form Poisson IRR power inflated by Kish design effect. NB overdispersion will further inflate SE; flag as rough upper bound on power. mu_human=0.0734, mu_agentic=0.1028.",,,,
rq3_intervention_count,rho_0.05,security_intervention_count,9110,4139,0.073448,0.102827,1.4,IRR,0.05,"RQ3 family, single count outcome",True,2.077,0.05,0.9426,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,"Closed-form Poisson IRR power inflated by Kish design effect. NB overdispersion will further inflate SE; flag as rough upper bound on power. mu_human=0.0734, mu_agentic=0.1028.",,,,
rq3_intervention_count,rho_0.10,security_intervention_count,9110,4139,0.073448,0.102827,1.4,IRR,0.05,"RQ3 family, single count outcome",True,3.153,0.1,0.8188,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,"Closed-form Poisson IRR power inflated by Kish design effect. NB overdispersion will further inflate SE; flag as rough upper bound on power. mu_human=0.0734, mu_agentic=0.1028.",,,,
rq2_sast,rq2_within_category,configured,2803,1744,0.063647,0.092526,1.5,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.9434,0.9579,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,3.1166,2.7686213925104137e-29,6.921553481276034e-29,0.10997633439575953
rq2_sca,rq2_within_category,configured,2803,1744,0.137041,0.181887,1.4,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.9806,0.9874,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,3.364,1.253259943463684e-58,6.26629971731842e-58,0.0801321624831811
rq2_secrets,rq2_within_category,configured,2803,1744,0.005161,0.009251,1.8,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.3604,0.3311,,0.8,UNDERPOWERED,post-hoc,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,1.875,0.1210711659659861,0.1513389574574827,0.38611507244662
rq2_fuzzing,rq2_within_category,configured,2803,1744,0.00172,0.003434,2.0,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.2028,0.1861,,0.8,UNDERPOWERED,post-hoc,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,2.2864,0.2728074834823988,0.2728074834823988,0.6520459284504047
rq2_ci_hardening,rq2_within_category,configured,2803,1744,0.012615,0.024915,2.0,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.854,0.8305,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,2.8658,1.5663976730241344e-06,2.6106627883735576e-06,0.23770134846776228
rq3_any_intervention,rho_0.01,any_security_intervention,9110,4139,0.048079,0.070426,1.5,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,1.215,0.01,0.9959,0.5732,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",0.5426326394804347,0.001223481425436,,0.1890679884485787
rq3_any_intervention,rho_0.05,any_security_intervention,9110,4139,0.048079,0.070426,1.5,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,2.077,0.05,0.9405,0.5732,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",0.5426326394804347,0.001223481425436,,0.1890679884485787
rq3_any_intervention,rho_0.10,any_security_intervention,9110,4139,0.048079,0.070426,1.5,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,3.153,0.1,0.8149,0.5732,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",0.5426326394804347,0.001223481425436,,0.1890679884485787
rq3_rejected,rho_0.01,rejected,9110,4139,0.142547,0.210105,1.6,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,1.215,0.01,1.0,0.6757,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",6.721356855685046,1.2153438395637745e-22,,0.1945707951811034
rq3_rejected,rho_0.05,rejected,9110,4139,0.142547,0.210105,1.6,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,2.077,0.05,1.0,0.6757,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",6.721356855685046,1.2153438395637745e-22,,0.1945707951811034
rq3_rejected,rho_0.10,rejected,9110,4139,0.142547,0.210105,1.6,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,3.153,0.1,0.9996,0.6757,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",6.721356855685046,1.2153438395637745e-22,,0.1945707951811034
rq3_intervention_count,rho_0.01,security_intervention_count,9110,4139,0.073448,0.102827,1.4,IRR,0.05,"RQ3 family, single count outcome",True,1.215,0.01,0.9961,0.4945,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,"Closed-form Poisson IRR power inflated by Kish design effect. NB overdispersion will further inflate SE; flag as rough upper bound on power. mu_human=0.0734, mu_agentic=0.1028.",0.6884764128065946,0.0308523771606743,,0.1728944630367188
rq3_intervention_count,rho_0.05,security_intervention_count,9110,4139,0.073448,0.102827,1.4,IRR,0.05,"RQ3 family, single count outcome",True,2.077,0.05,0.9426,0.4945,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,"Closed-form Poisson IRR power inflated by Kish design effect. NB overdispersion will further inflate SE; flag as rough upper bound on power. mu_human=0.0734, mu_agentic=0.1028.",0.6884764128065946,0.0308523771606743,,0.1728944630367188
rq3_intervention_count,rho_0.10,security_intervention_count,9110,4139,0.073448,0.102827,1.4,IRR,0.05,"RQ3 family, single count outcome",True,3.153,0.1,0.8188,0.4945,,0.8,OK,post-hoc,2026-04-26T18:57:09Z,"Closed-form Poisson IRR power inflated by Kish design effect. NB overdispersion will further inflate SE; flag as rough upper bound on power. mu_human=0.0734, mu_agentic=0.1028.",0.6884764128065946,0.0308523771606743,,0.1728944630367188
